,Depth 10,20,30,40,50,,GPU MEM,,
2+26 Qubits,,,,,,,,,
ours zero start,2.57,3.12,3.68,4.20,4.82,,,,
ours,8.14,10.39,12.56,14.80,17.04,"2.72 init, final merge +2.1",1GB,,
qiskit_cpu,21.93,43.79,65.04,84.84,101.94,,-,,
qiskit_gpu,6.34,8.84,11.25,13.46,15.86,,4GB,,
QDAO,18.25,21.01,80.17,,199.45,,,,
,,,,,,,,,
2+28,,,,,,,,,
ours zero start,9.54,11.88,14.28,16.70,19.06,,,,
ours,32.10,41.48,50.88,(59),(68),"10.84 init, final merge +8.37",4GB,,
qiskit_cpu,89.67,178.60,(268),(358),(448),,-,,
qiskit_gpu,25.56,35.68,45.73,(55),(65),,16GB,,
qiskit_gpu_block,47,47,74,74,91,,4GB,,
,,,,,,,,,
2+30,,,,,,,,,
ours zero start,38.83,47.40,57.48,(67),(77),,,,
ours,129.03,169.86,214.38,(254),(294),"43.35 init, final merge +32.64",16GB,,
qiskit_cpu,372.93,738.13,(1103),(1468),(1833),,-,,
qiskit_gpu,OOM,,,,,,64GB,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
