,Depth 100,200,300,,,,,,,
,,,,,,,,,,
2+28,,,,,,2+27,,,,
ours zero start,9.6,14,18,4.4GB,,ours zero start,5.1,7.3,9.1,2.3GB
ours,37,53,68,4.4GB,,ours,19,28,35,2.3GB
final merge,41,57,72,,,final merge,21,30,38,
qiskit_cpu,136,270,398,-,,qiskit_cpu,70,147,213,-
qiskit_gpu,31,47,62,16GiB,,qiskit_gpu,16,25,32,8GiB
qiskit_gpu_blocking,59,76,89,4.4GB,,qiskit_gpu_blocking,27,42,50,2.3GB
QDAO,91@2sub,139@2sub,183@2sub,4.4GB,,QDAO,47,72,95,2.3GB
,,,,,,,,,,
3+27,,,,,,4+27,,,,
ours zero start,5.6,8.2,9.8,2.3GB,,ours zero start,7.0,9.1,11,2.3GB
ours,43,61,76,2.3GB,,ours,106,142,172,2.3GB
final merge,52,70,85,,,final merge,142,178,208,
qiskit_cpu,136,287,418,-,,qiskit_cpu,271,564,819,-
qiskit_gpu,32,49,64,16GiB,,qiskit_gpu,63,98,128,32GiB
qiskit_gpu_blocking,58,87,99,2.3GB,,qiskit_gpu_blocking,116,181,205,2.3GB
QDAO,92@2sub,143@2sub,189@2sub,2.3GB,,QDAO,183,295,396,2.3GB
,,,,,,,,,,
4+26,,,,,,,,,,
ours zero start,3.5,4.4,5.4,1.3GB,,,,,,
ours,50,66,82,1.3GB,,,,,,
final merge,70,86,102,,,,,,,
qiskit_cpu,124,253,387,-,,,,,,
qiskit_gpu,31,45,60,16GiB,,,,,,
qiskit_gpu_blocking,(59),(96),(110),1.3GB,,,,,,
QDAO,85@2sub,137@2sub,188@2sub,1.3GB,,,,,,
